sample,mode,T_low,T_center,T_high,ALEPH,ALEPH_total_unc,MC_density,MC_over_ALEPH
Herwig 7.1.5,all visible,0.58,0.585,0.59,0.00115,0.00070349129,0.065899716,57.304101
Herwig 7.1.5,all visible,0.59,0.595,0.6,0.00229,0.0012399194,0.078710811,34.371533
Herwig 7.1.5,all visible,0.6,0.605,0.61,0.0035,0.0014591093,0.18330894,52.373983
Herwig 7.1.5,all visible,0.61,0.615,0.62,0.00839,0.0020986901,0.18988377,22.632154
Herwig 7.1.5,all visible,0.62,0.625,0.63,0.01283,0.002962769,0.31918613,24.878108
Herwig 7.1.5,all visible,0.63,0.635,0.64,0.02148,0.0047140747,0.29262147,13.622973
Herwig 7.1.5,all visible,0.64,0.645,0.65,0.0433,0.00624495,0.49200085,11.362606
Herwig 7.1.5,all visible,0.65,0.655,0.66,0.06556,0.0060092762,0.63068111,9.6199072
Herwig 7.1.5,all visible,0.66,0.665,0.67,0.10284,0.0087529938,0.6929079,6.7377276
Herwig 7.1.5,all visible,0.67,0.675,0.68,0.12575,0.010910642,0.71480027,5.6842964
Herwig 7.1.5,all visible,0.68,0.685,0.69,0.16396,0.014302059,0.72055847,4.3947211
Herwig 7.1.5,all visible,0.69,0.695,0.7,0.18416,0.017426196,0.87664342,4.7602271
Herwig 7.1.5,all visible,0.7,0.705,0.71,0.21424,0.016380446,0.89674489,4.1857024
Herwig 7.1.5,all visible,0.71,0.715,0.72,0.24814,0.022485075,0.79943616,3.2217142
Herwig 7.1.5,all visible,0.72,0.725,0.73,0.29427,0.022167641,0.83497048,2.8374298
Herwig 7.1.5,all visible,0.73,0.735,0.74,0.34347,0.021270538,0.87953627,2.5607368
Herwig 7.1.5,all visible,0.74,0.745,0.75,0.36536,0.022020204,0.97281187,2.6626119
Herwig 7.1.5,all visible,0.75,0.755,0.76,0.43088,0.025987314,1.1732188,2.7228434
Herwig 7.1.5,all visible,0.76,0.765,0.77,0.46923,0.022808213,1.5888124,3.3859992
Herwig 7.1.5,all visible,0.77,0.775,0.78,0.54584,0.022663118,1.9857726,3.6380122
Herwig 7.1.5,all visible,0.78,0.785,0.79,0.59942,0.024884415,2.0872748,3.4821574
Herwig 7.1.5,all visible,0.79,0.795,0.8,0.66087,0.036679069,2.5387515,3.8415294
Herwig 7.1.5,all visible,0.8,0.805,0.81,0.768,0.035146101,2.9092905,3.7881387
Herwig 7.1.5,all visible,0.81,0.815,0.82,0.857,0.037210695,3.1142922,3.6339465
Herwig 7.1.5,all visible,0.82,0.825,0.83,0.98079,0.049712962,3.3516482,3.4172944
Herwig 7.1.5,all visible,0.83,0.835,0.84,1.1127,0.055142726,3.807595,3.4219421
Herwig 7.1.5,all visible,0.84,0.845,0.85,1.27035,0.062496654,4.4112092,3.4724361
Herwig 7.1.5,all visible,0.85,0.855,0.86,1.43939,0.054556527,4.7726087,3.3157162
Herwig 7.1.5,all visible,0.86,0.865,0.87,1.63938,0.065292539,5.0796518,3.09852
Herwig 7.1.5,all visible,0.87,0.875,0.88,1.93459,0.075931955,5.1602377,2.6673547
Herwig 7.1.5,all visible,0.88,0.885,0.89,2.23002,0.076176569,4.9063343,2.2001302
Herwig 7.1.5,all visible,0.89,0.895,0.9,2.63072,0.084213729,4.1854075,1.5909741
Herwig 7.1.5,all visible,0.9,0.905,0.91,3.06214,0.10207912,3.368441,1.1000284
Herwig 7.1.5,all visible,0.91,0.915,0.92,3.70212,0.082993406,2.355027,0.63612931
Herwig 7.1.5,all visible,0.92,0.925,0.93,4.54709,0.10354825,1.5318343,0.33688234
Herwig 7.1.5,all visible,0.93,0.935,0.94,5.64464,0.12556091,0.7062494,0.12511859
Herwig 7.1.5,all visible,0.94,0.945,0.95,7.27722,0.12360353,0.23277108,0.031986264
Herwig 7.1.5,all visible,0.95,0.955,0.96,9.62952,0.16649535,0.043217519,0.0044880242
Herwig 7.1.5,all visible,0.96,0.965,0.97,13.60396,0.22487906,0.034119085,0.002508026
Herwig 7.1.5,all visible,0.97,0.975,0.98,18.56511,0.68998782,0.078504268,0.0042285916
Herwig 7.1.5,all visible,0.98,0.985,0.99,12.88646,0.52803447,1.1372909,0.088254722
Herwig 7.1.5,all visible,0.99,0.995,1,1.31186,0.20153219,29.799738,22.715639
PYTHIA 8.317,all visible,0.58,0.585,0.59,0.00115,0.00070349129,0.051619885,44.886857
PYTHIA 8.317,all visible,0.59,0.595,0.6,0.00229,0.0012399194,0.093972639,41.036087
PYTHIA 8.317,all visible,0.6,0.605,0.61,0.0035,0.0014591093,0.10953494,31.295696
PYTHIA 8.317,all visible,0.61,0.615,0.62,0.00839,0.0020986901,0.18982388,22.625015
PYTHIA 8.317,all visible,0.62,0.625,0.63,0.01283,0.002962769,0.26398817,20.575851
PYTHIA 8.317,all visible,0.63,0.635,0.64,0.02148,0.0047140747,0.31497973,14.663861
PYTHIA 8.317,all visible,0.64,0.645,0.65,0.0433,0.00624495,0.48901526,11.293655
PYTHIA 8.317,all visible,0.65,0.655,0.66,0.06556,0.0060092762,0.58880411,8.9811487
PYTHIA 8.317,all visible,0.66,0.665,0.67,0.10284,0.0087529938,0.63803862,6.2041873
PYTHIA 8.317,all visible,0.67,0.675,0.68,0.12575,0.010910642,0.77048183,6.1270921
PYTHIA 8.317,all visible,0.68,0.685,0.69,0.16396,0.014302059,0.75246471,4.5893188
PYTHIA 8.317,all visible,0.69,0.695,0.7,0.18416,0.017426196,0.78086505,4.2401447
PYTHIA 8.317,all visible,0.7,0.705,0.71,0.21424,0.016380446,0.79669348,3.7186962
PYTHIA 8.317,all visible,0.71,0.715,0.72,0.24814,0.022485075,0.80416896,3.2407873
PYTHIA 8.317,all visible,0.72,0.725,0.73,0.29427,0.022167641,0.83762053,2.8464354
PYTHIA 8.317,all visible,0.73,0.735,0.74,0.34347,0.021270538,0.8041162,2.3411541
PYTHIA 8.317,all visible,0.74,0.745,0.75,0.36536,0.022020204,0.90183132,2.4683362
PYTHIA 8.317,all visible,0.75,0.755,0.76,0.43088,0.025987314,1.0558125,2.4503631
PYTHIA 8.317,all visible,0.76,0.765,0.77,0.46923,0.022808213,1.4478676,3.0856245
PYTHIA 8.317,all visible,0.77,0.775,0.78,0.54584,0.022663118,1.7382112,3.1844701
PYTHIA 8.317,all visible,0.78,0.785,0.79,0.59942,0.024884415,1.9053463,3.1786499
PYTHIA 8.317,all visible,0.79,0.795,0.8,0.66087,0.036679069,2.3099669,3.4953423
PYTHIA 8.317,all visible,0.8,0.805,0.81,0.768,0.035146101,2.719618,3.5411692
PYTHIA 8.317,all visible,0.81,0.815,0.82,0.857,0.037210695,3.0952651,3.6117445
PYTHIA 8.317,all visible,0.82,0.825,0.83,0.98079,0.049712962,3.3462681,3.4118089
PYTHIA 8.317,all visible,0.83,0.835,0.84,1.1127,0.055142726,3.9108436,3.5147332
PYTHIA 8.317,all visible,0.84,0.845,0.85,1.27035,0.062496654,4.3370051,3.4140238
PYTHIA 8.317,all visible,0.85,0.855,0.86,1.43939,0.054556527,4.5888092,3.1880235
